book,author,year,publisher
"Six of One","Rita Mae Brown","1983","Bantam Doubleday Dell"
"Lords of Light","Deepak Chopra","1999","St. Martin\'s Press"
"Children of Dune","Frank Herbert","1977","Berkley Publishing Group"
"R is for Ricochet","Sue Grafton","2004","Putnam Publishing Group"
"Four Blind Mice","James Patterson","2002","Little, Brown"
"The Archivist","Martha Cooley","1998","Little Brown &amp; Co"
"Hope\'s Highway","Dorothy Garlock","2004","Warner Books"
"Lightpaths","Howard V. Hendrix","1997","Ace Books"
"Loot","Aaron Elkins","1999","Avon"
"Something Under the Bed Is Drooling","Bill Watterson","1988","Andrews McMeel Publishing"
"The First Deadly Sin","Lawrence Sanders","1980","Berkley Publishing Group"
"The Djinn in the Nightingale\'s Eye: Five Fairy Stories","A. S. Byatt","1998","Vintage Books USA"
"La Prosivendola","Daniel Pennac","1994","Universale Economica Feltrinelli"
"Montana Sky","Nora Roberts","2000","Jove Books"
"The Only Dance There Is: Talks Given at the Menninger Foundation, Topeka, Kansas, 1970, and at Spring Grove Hospital, Spring Grove, Maryland, 1972","Ram Dass","1974","Anchor"
"Sick Puppy","Carl Hiaasen","2001","Warner Vision"
"Out of Sight","Elmore Leonard","1996","Bantam Dell Pub Group"
"The Night the Bear Ate Goombaw","Patrick F. McManus","1989","Henry Holt &amp; Co"
"Perfect Timing","Catherine Healy","1985","Harlequin"
"I Kissed Dating Goodbye: A New Attitude Toward Relationships And Romance","Joshua Harris","1997","Multnomah"
"Godshome","Robert Sheckley","2000","Tor Books"
"My Soul to Keep","Judith Hawkes","1996","Penguin USA"
"Grecian Holiday: Or, How I Turned Down the Best Possible Thing Only to Have the Time of My Life","Kate Cann","2002","Avon"
"Good Morning, Midnight","Jean Rhys","1986","W. W. Norton &amp; Company"
"Death in the Clouds","Agatha Christie","1997","Berkley Publishing Group"
"Dark Cities Underground","Lisa Goldstein","1999","Tor Books"
"The Trouble With Catherine","Andes Hruby","2002","Dutton Books"
"The Family Orchard","Nomi Eve","2001","Vintage Books USA"
"Dear Emily","Fern Michaels","2003","Kensington Books"
"When a Texan Gambles","Jodi Thomas","2003","Jove Books"
"The Medusa and the Snail: More Notes of a Biology Watcher","Lewis Thomas","1979","Penguin USA"
"Body for Life: 12 Weeks to Mental and Physical Strength","Bill Phillips","1999","HarperCollins"
"Forrest Gump","Winston Groom","2002","Washington Square Press"
"Davita\'s Harp","Chaim Potok","1996","Ballantine Books"
"The Pagan Book of Days: A Guide to the Festivals, Traditions, and Sacred Days of the Year","Nigel Pennick","1992","Inner Traditions"
"An Occasion of Sin","Andrew M. Greeley","1991","Putnam Pub Group"
"Crazy for You","Jennifer Crusie","2000","St. Martin\'s Press"
"The Blue Bedspread","Raj Kamal Jha","2001","Harvest Books"
"El Ladron De Cuerpos","Anne Rice","2002","Distribooks"
"Cancer Schmancer","Fran Drescher","2003","Warner Books"
"Innumeracy: Mathematical Illiteracy and Its Consequences","John Allen Paulos","1990","Vintage Books USA"
"Thale\'s Folly","Dorothy Gilman","1999","Ballantine Books"
"Dreaming Water","Gail Tsukiyama","2002","St. Martin\'s Press"
"The Mummy or Ramses the Damned","Anne Rice","1991","Ballantine Books"
"De l\'amour et autres mensonges","Lucia Etxebarria","2003","DenoÃ?Â«l"
"The Triumph of the Moon: A History of Modern Pagan Witchcraft","Ronald Hutton","2000","Oxford University Press"
"Veva/Veva","Carmen Kurtz","1998","Lectorum Publications"
"Voice of the Eagle","Linda Lay Shuler","1992","Harpercollins"
"The Up and Comer","Howard Roughan","2001","Warner"
"The Widening Gyre","Robert B. Parker","1987","Dell Publishing Company"
"Violets Are Blue","James Patterson","2001","Little, Brown"
"Compelling Evidence","Steven Paul Martini","1993","Jove Books"
"A BEAUTIFUL MIND: A Biography of John Forbes Nash, Jr., Winner of the Nobel Prize in Economics, 1994","Sylvia Nasar","1999","Simon &amp; Schuster"
"Children: The Challenge","Rudolf Dreikurs","1976","Hawthorn Books"
"Penis Is as Penis Does","Anonymous","2000","Penguin USA (Paper)"
"The Chisellers","Brendan O\'Carroll","2000","Plume Books"
"The Redemption of Sarah Cain","Beverly Lewis","2000","Bethany House Publishers"
"The Right Words at the Right Time","Marlo Thomas","2002","Atria Books"
"La joven de la perla","Tracy Chevalier","2002","Santillana USA Publishing Company"
"Anatomy of the Spirit: The Seven Stages of Power and Healing","Caroline Myss","1996","Harmony"
"The Mother-Daughter Book Club: How Ten Busy Mothers and Daughters Came Together to Talk, Laugh and Learn Through Their Love of Reading","Shireen Dodson","1997","Perennial"
"Jay Leno: Leading With My Chin","Jay Leno","1996","Harpercollins"
"Little, Big","John Crowley","1983","Spectra Books"
"Archy and Mehitabel","Don Marquis","1970","Anchor"
"We Are Not Forgotten: George Anderson\'s Messages of Love and Hope from the Other Side","Joel Martin","1994","Berkley Publishing Group"
"Bart Simpson\'s Guide to Life: A Wee Handbook for the Perplexed","Matt Groening","1993","Perennial"
"Highland Fling","May MacIntosh","1978","Dell Publishing"
"Topping From Below","Laura Reese","1996","St. Martin\'s Griffin"
"The Road from Coorain","Jill Ker Conway","1990","Vintage Books USA"
"Wicked Widow","Carter Brown","1981","Leisure Books"
"The Diary of Ellen Rimbauer: My Life at Rose Red","Ellen Rimbauer","2002","Hyperion Press"
"Horse Heaven","Jane Smiley","2000","Random House Inc"
"The Complete Book of Zingers","Croft M. Pentz","1990","Tyndale House Publishers"
"The Third Option","Vince Flynn","2000","Atria"
"The Two Mrs. Grenvilles","Dominick Dunne","1999","Ballantine Books"
"Sappho: A New Translation","Mary Barnard","1986","University of California Press"
"Embrace the Night","Amanda Ashley","1995","Love Spell"
"Heart of a Warrior","Johanna Lindsey","2001","Brilliance Audio"
"The No-Spin Zone: Confrontations with the Powerful and Famous in America","Bill O\'Reilly","2001","Broadway Books"
"Grand Opening","Jon Hassler","1987","Harpercollins"
"The Ways of Grace","Linda Francis Lee","2002","Ivy Books"
"Extreme Denial","David Morrell","1996","Warner Books"
"97 Ways to Make Your Dog Smile","Jenny Langbehn","2003","Workman Publishing"
"Morgan\'s Mercenaries, Heart of the Jaguar","Lindsay McKenna","1998","Silhouette"
"Just Hand over the Chocolate and No One Will Get Hurt","Karen Scalf Linamen","1999","Revell"
"The Senator\'s Daughter","Mary Bringle","1986","Diamond Books (NY)"
"In the Drink","Kate Christensen","2000","Anchor Books/Doubleday"
"The Bourne Ultimatum","Robert Ludlum","1991","Bantam Books"
"Mr Vertigo","Paul Auster","1993","Actes Sud"
"The Underdog and Other Stories","Agatha Christie","2001","Berkley Publishing Group"
"Sweet Life: Erotic Fantasies for Couples","Violet Blue","2001","Cleis Press"
"A Cast of Killers","Sidney Kirkpatrick","1987","Random House"
"The Road Ahead","Bill Gates","1996","Penguin Books"
"Rapture in Death","J. D. Robb","1996","Berkley Publishing Group"
"Plateforme","Michel Houellebecq","2003","Distribooks Inc"
"The Blue Hour","T. Jefferson Parker","2000","Hyperion"
"Mixed Messages","Linda Lael Miller","2003","Mira"
"Lillian Too\'s Easy-to-Use Feng Shui: 168 Ways to Success","Lillian Too","1999","Sterling Publishing"
"Wassermelone.","Marian Keyes","2002","Heyne"
"Con Animo De Ofender","Arturo Perez-Reverte","2001","Alfaguara Ediciones, S.A. (Spain)"
"The Fifth Ring","Mitchell Graham","2003","Eos"
"Twilight at Mac\'s Place","Ross Thomas","2003","St. Martin\'s Griffin"
"Fat Chance","Margaret Clark","1996","Random House Australia"
"Loon Lake","E. L. Doctorow","1982","Random House Inc"
"Women Make the Best Friends: A Celebration","Lois Wyse","1995","Simon &amp; Schuster"
"The Gift for All People","Max Lucado","1999","Multnomah Publishers Inc."
"A Match to the Heart/One Woman\'s Story of Being Struck by Lightning","Gretel Ehrlich","1995","Penguin Books"
"Eine Zierde in ihrem Hause. Die Geschichte der Ottilie von Faber- Castell.","Asta Scheib","2000","Rowohlt Tb."
"El Ultimo Judio","Noah Gordon","1999","Ediciones B Mexico S.A. de C.V."
"Esco a Fare Due Passi","Fabio Volo","2001","Mondadori (IT)"
"Black House","Patricia Highsmith","1988","Mysterious Press"
"The Dark One","Melinda Metz","2000","Simon Spotlight Entertainment"
"After the Ashes","Cheryl Howe","2003","Leisure Books"
"TOUCHED WITH FIRE: Manic Depressive Illness and the Artistic Temperament","Kay Redfield Jamison","1996","Free Press"
"Night Shift/Trucks M/TV","Stephen King","1986","Signet Book"
"Das Erlebnis der Wiedergeburt. Heilung durch Reinkarnation.","Thorwald Dethlefsen","2000","Goldmann"
"Monkey Wrench Gang","Edward Abbey","1976","Avon"
"Diving Bell and the Butterfly","Jean Dominiqu Bauby","0","Fourth Estate Ltd"
"The Winds of War","Herman Wouk","1992","Little, Brown"
"Divina Comedia, La","Dante Alighieri","1998","Mateos Ediciones"
"Bourne Identity","Robert Ludlum","1966","Bantam Doubleday Dell"
"Champagner und Kamillentee.","Franziska Stalmann","1992","Piper"
"In a Certain Light","Karen Osney Brownstein","1985","Putnam Pub Group"
"The Birth Order Book: Why You Are the Way You Are","Kevin Leman","1985","Baker Pub Group"
"The Secret Garden","Frances Hodgson Burnett","1994","Signet Classics"
"Highgate Rise","Anne Perry","1991","Ballantine Books"
"Desperate Measures","David Morrell","1994","Warner Books Inc"
"Red Pony","John Steinbeck","1983","Bantam Doubleday Dell"
"Cold Sassy Tree","Olive Ann Burns","1986","Delta"
"Morgans Passing","Anne Tyler","0","Playboy Enterprises, Inc"
"The Hobbit","J. R. R. Tolkien","2000","Houghton Mifflin Company"
"Charlotte Gray","Sebastian Faulks","1999","DenoÃ?Â«l"
"Silent Prey","John Sandford","1992","Putnam Pub Group"
"La Perla","John Steinbeck","2003","Edhasa"
"Non Campus Mentis: World History According to College Students","Anders Henriksson","2003","Workman Publishing"
"Sweet Life: Adventures on the Way to Paradise","Barry Manilow","1987","McGraw-Hill"
"Middle Age: A Romance","Joyce Carol Oates","2002","Ecco"
"Clay\'s Ark","Octavia Butler","1985","Ace Books"
"Homeless Bird","Gloria Whelan","2001","Scholastic"
"Fountainhead","Ayn Rand","1952","Signet Book"
"Go Ask Alice","Anonymous","1998","Simon Pulse"
"The Delta Sisters","Kayla Perrin","2004","St. Martin\'s Press"
"Wings In The Night","Maggie Shayne","2001","Silhouette"
"Pelican Brief","John Grisham","0","Trafalgar Square"
"Unsere Hochzeiten.","Dorit Rabinyan","2001","Fischer (Tb.), Frankfurt"
"Heat and Dust","Ruth Prawer Jhabvala","1999","Counterpoint Press"
"Adventures of Stainless Steel Rat","Harry Harrison","1986","Berkley Publishing Group"
"The Virgin Blue","Tracy Chevalier","2003","Highbridge Audio"
"Sadako and the Thousand Paper Cranes","Eleanor Coerr","2001","Penguin USA"
"Durch einen Spiegel, in einem dunklen Wort.","Jostein Gaarder","1996","Carl Hanser"
"The Life and Loves of a She-Devil","Fay Weldon","1984","Random House Inc"
"Carolina Moon","Nora Roberts","0","Putnams G P Sons"
"Shadows of Yesterday","Sandra Brown","1992","Warner Books"
"Always Six O\'Clock","Phoef Sutton","1998","Putnam Pub Group"
"2061: Odyssey Three","Arthur C. Clarke","1988","Ballantine Books"
"Mouthing the Words","Camilla Gibb","2002","Vintage"
"As You Like It","William Shakespeare","1987","Signet Classics"
"Wanda Hickey\'s Night of Golden Memories: And Other Disasters","Jean Shepherd","1976","Broadway Books"
"Mr. Vertigo.","Paul Auster","1996","Rowohlt, Reinbek"
"A Barnstormer in Oz","Philip Farmer","1983","Berkley Pub Group"
"Twin of Ice","Jude Deveraux","1991","Pocket"
"Goodbye, Mr. Chips","James Hilton","1983","Bantam"
"Blu\'s Hanging","Lois-Ann Yamanaka","1997","Farrar Straus Giroux"
"The Otherworld","Mercedes Lackey","2000","Baen"
"Eleven Hours","Paullina Simons","1999","St. Martin\'s Press"
"The Santaroga Barrier","Frank Herbert","2002","Tor Books"
"Below Another Sky: A Mountain Adventure in Search of a Lost Father","Rick Ridgeway","2001","Henry Holt &amp; Company"
"The Tea Rose","Jennifer Donnelly","2004","St. Martin\'s Press"
"The Teachings of Don Juan: A Yaqui Way of Knowledge","Carlos Castaneda","1985","Washington Square Press"
"The China Garden","Liz Berry","1996","Farrar Straus &amp; Giroux (J)"
"Hexwood","Diana Wynne Jones","1994","Greenwillow Books"
"White Lilacs","Carolyn Meyer","1993","Gulliver Books"
"The Alpine Nemesis","Mary Daheim","2001","Fawcett Books"
"The Best Defense","Ellis Cose","1998","HarperCollins Publishers"
"The Mermaids Singing","Lisa Carey","1999","Avon"
"Drudge Manifesto","Matt Drudge","2000","New American Library"
"The Blue Bedspread","Raj Kamal Jha","1999","Picador (UK)"
"The Snowman\'s Children","Glen Hirshberg","2002","Carroll &amp; Graf Publishers"
"Sharmila\'s Book","Bharti Kirchner","1999","Penguin USA"
"Easy Prey","John Sandford","2001","Berkley Publishing Group"
"A Year by the Sea: Thoughts of an Unfinished Woman","Joan Anderson","2000","Broadway Books"
"The Bullfighter Checks Her Makeup: My Encounters With Extraordinary People","Susan Orlean","2002","Random House Trade"
"Five Little Monkeys Jumping on the Bed","Eileen Christelow","1998","Houghton Mifflin Co"
"Next Year in Cuba: A Cubano\'s Coming-Of-Age in America","Gustavo Perez Firmat","1996","Anchor"
"El Diablo De LA Botella/the Bottled Imp","Robert Louis Stevenson","1996","Alianza"
"The Coed Call Girl Murder","Fannie Weinstein","1997","St. Martin\'s True Crime Classics"
"After Rain","William Trevor","1997","Penguin Books"
"After Twilight","Amanda Ashley","2001","Love Spell/Dorchester Pub. Co."
"I Have Lived A Thousand Years: Growing Up In The Holocaust","Livia Bitton-Jackson","1999","Simon Pulse"
"Playing House","Patricia Pearson","2003","Avon Trade"
"Vergebliche Entwarnung.","Patricia Cornwell","1995","Droemersche Verlagsanstalt Th. Knaur Nachf., GmbH &amp; Co."
"A Theory of Relativity","Jacquelyn Mitchard","2002","HarperTorch"
"Grania: She-King of the Irish Seas","Morgan Llywelyn","1987","Ivy Books"
"Ella Minnow Pea: A Progressively Lipogrammatic Epistolary Fable","Mark Dunn","2001","MacAdam/Cage Publishing"
"Degree of Guilt","Richard North Patterson","1993","Random House Inc"
"The Rez Sisters: A Play in Two Acts","Tomson Highway","1988","Fifth House Publishers"
"When She Was Good","Philip Roth","1995","Vintage"
"The 158-Pound Marriage","John Irving","1994","Ballantine Books"
"Midnight Louie\'s Pet Detectives","Carole Nelson Douglas","1998","Forge"
"Burglars Can\'t Be Choosers","Lawrence Block","1983","Pocket"
"Bag of Bones","Stephen King","1999","Sagebrush Bound"
"Intimacies","Lisa Jackson","1998","Zebra Books"
"The Other Woman","Jill McGown","1997","Pan Publishing"
"Protein Power: The High-Protein/Low Carbohydrate Way to Lose Weight, Feel Fit, and Boost Your Health-in Just Weeks!","Michael R., MD Eades","1996","Bantam"
"Postcards from Live and Learn and Pass It on","H. Jackson, Jr. Brown","1994","Rutledge Hill Press"
"Auf dem Jakobsweg. Tagebuch einer Pilgerreise nach Santiago de Compostela.","Paulo Coelho","2000","Diogenes Verlag"
"Home Song","Lavyrle Spencer","1995","Putnam Pub Group"
"Finding Moon","Tony Hillerman","0","Harpercollins Publisher"
"Crimson Joy","Robert B. Parker","1997","Dell Publishing Company"
"Strong for Potatoes","Cynthia Thayer","1998","St Martins Pr"
"Voyages of Hope: The Saga of the Bride-Ships","Peter Johnson","2002","Horsdal &amp; Schubart Publishers, Ltd."
"Three Musketeers","Alexandre Dumas","0","Barnes Noble"
"Private Practices","Stephen White","1994","Signet Book"
"Slow Heat in Heaven","Sandra Brown","1991","Warner Books"
"The Girl With the Full Figure Is Your Daughter","Oscar Martens","2002","Turnstone Press"
"A Meeting by the River","Christopher Isherwood","1988","Noonday Press"
"Scaramouche: A Romance of the French Revolution","Rafael Sabatini","2002","W. W. Norton &amp; Company"
"Song of Her Heart","Irene Brand","2003","Steeple Hill"
"Ballad of the Sad Cafe and Other Stories","Carson McCullers","1990","Bantam Books"
"Servants of the Map: Stories","Andrea Barrett","2002","W.W. Norton &amp; Company"
"Plan of Attack","Bob Woodward","2004","Simon &amp; Schuster"
"LT\'s Theory of Pets","Stephen King","2001","Audioworks"
"Saint Maybe","Anne Tyler","1991","Ballantine Books"
"Gibbon\'s Decline and Fall","Sheri S. Tepper","1997","Bantam Books"
"Until We Meet Again","Christine McGuire","1999","Pocket"
"Asteroid Goddesses","Demetra George","1986","ACS Publications"
"Tolkien: A Biography","Michael White","2003","New American Library"
"Cold Night, Warm Stranger","Jill Gregory","1999","Dell Publishing Company"
"Silent Honor","Danielle Steel","1996","Random House Audio Publishing Group"
"His Way: The Unauthorized Biography of Frank Sinatra","Kitty Kelley","1987","Bantam Books"
"Life On The Edge","James C. Dobson","2000","W Publishing Group"
"Blindsighted","Karin Slaughter","2002","HarperTorch"
"The Lions of Al-Rassan","Guy Gavriel Kay","1996","Eos"
"Sacred Sins","Nora Roberts","1990","Bantam Books"
"Desert Rain","Spirit Walker","2001","Leisure Books"
"The Marching Season","Daniel Silva","1999","Random House"
"Rich Mullins: An Arrow Pointing to Heaven","James Smith","2002","Broadman &amp; Holman Publishers"
"Not for Packrats Only: How to Clean Up, Clear Out, and Live Clutter-Free Forever","Don Aslett","1991","Plume Books"
"The Temple of My Familiar","Alice Walker","1989","Harcourt"
"The Solace of Leaving Early","Haven Kimmel","2003","Anchor Books/Doubleday"
